activity_id,assay_chembl_id,assay_type,assay_description,document_chembl_id,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation
163241,CHEMBL806527,B,Radioligand displacement assay for the binding of [125I]Glu-Pro-Gln-pTyr-Glu-Glu-Ile-Pro-Ile-Tyr-Leu to ABL SH2 domain,CHEMBL1130490,CHEMBL293803,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC1CCCCC1)C(N)=O,IC50,4900.0,nM,=
163243,CHEMBL762575,B,Inhibition of [35S]-labeled SH2-GST Abl binding to the phospho-PDGF receptor intracellular domain,CHEMBL1130490,CHEMBL293803,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC1CCCCC1)C(N)=O,IC50,7000.0,nM,=
163245,CHEMBL806527,B,Radioligand displacement assay for the binding of [125I]Glu-Pro-Gln-pTyr-Glu-Glu-Ile-Pro-Ile-Tyr-Leu to ABL SH2 domain,CHEMBL1130490,CHEMBL294692,CC(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC1CCCCC1)C(N)=O,IC50,1200.0,nM,=
163247,CHEMBL762575,B,Inhibition of [35S]-labeled SH2-GST Abl binding to the phospho-PDGF receptor intracellular domain,CHEMBL1130490,CHEMBL294692,CC(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC1CCCCC1)C(N)=O,IC50,1400.0,nM,=
165535,CHEMBL806527,B,Radioligand displacement assay for the binding of [125I]Glu-Pro-Gln-pTyr-Glu-Glu-Ile-Pro-Ile-Tyr-Leu to ABL SH2 domain,CHEMBL1130490,CHEMBL294420,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,IC50,1200.0,nM,=
165537,CHEMBL762575,B,Inhibition of [35S]-labeled SH2-GST Abl binding to the phospho-PDGF receptor intracellular domain,CHEMBL1130490,CHEMBL294420,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,IC50,5200.0,nM,=
166851,CHEMBL806527,B,Radioligand displacement assay for the binding of [125I]Glu-Pro-Gln-pTyr-Glu-Glu-Ile-Pro-Ile-Tyr-Leu to ABL SH2 domain,CHEMBL1130490,CHEMBL299477,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,IC50,7900.0,nM,=
166853,CHEMBL762575,B,Inhibition of [35S]-labeled SH2-GST Abl binding to the phospho-PDGF receptor intracellular domain,CHEMBL1130490,CHEMBL299477,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,IC50,15000.0,nM,=
166855,CHEMBL806527,B,Radioligand displacement assay for the binding of [125I]Glu-Pro-Gln-pTyr-Glu-Glu-Ile-Pro-Ile-Tyr-Leu to ABL SH2 domain,CHEMBL1130490,CHEMBL57393,CC(=O)N[C@@H](Cc1ccc(P(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,IC50,14000.0,nM,=
166857,CHEMBL762576,B,Inhibition of [35S]-labeled SH2-GST Abl binding to the phospho-PDGF receptor intracellular domain (not determined),CHEMBL1130490,CHEMBL57393,CC(=O)N[C@@H](Cc1ccc(P(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,IC50,,nM,
175240,CHEMBL806527,B,Radioligand displacement assay for the binding of [125I]Glu-Pro-Gln-pTyr-Glu-Glu-Ile-Pro-Ile-Tyr-Leu to ABL SH2 domain,CHEMBL1130490,CHEMBL58421,CC[C@H](NC(=O)[C@H](Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,IC50,22000.0,nM,=
175242,CHEMBL762575,B,Inhibition of [35S]-labeled SH2-GST Abl binding to the phospho-PDGF receptor intracellular domain,CHEMBL1130490,CHEMBL58421,CC[C@H](NC(=O)[C@H](Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,IC50,17000.0,nM,=
179129,CHEMBL806527,B,Radioligand displacement assay for the binding of [125I]Glu-Pro-Gln-pTyr-Glu-Glu-Ile-Pro-Ile-Tyr-Leu to ABL SH2 domain,CHEMBL1130490,CHEMBL56697,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,IC50,22000.0,nM,=
179131,CHEMBL762576,B,Inhibition of [35S]-labeled SH2-GST Abl binding to the phospho-PDGF receptor intracellular domain (not determined),CHEMBL1130490,CHEMBL56697,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,IC50,,nM,
185461,CHEMBL762579,B,Inhibition of Abl SH2 domain binding PDGF receptor,CHEMBL1129087,CHEMBL328907,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,IC50,15300.0,nM,=
213038,CHEMBL762579,B,Inhibition of Abl SH2 domain binding PDGF receptor,CHEMBL1129087,CHEMBL2092743,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)c1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,IC50,100000.0,nM,>
593024,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL541307,CN(C)CC(CNNC(N)=O)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,IC50,100000.0,nM,>
595393,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL538757,COC(=O)c1ccccc1SCC(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,IC50,100000.0,nM,>
596829,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL538507,Cc1ccc(SCC(CN(C)C)C(=O)c2ccc(OCc3ccccc3)cc2)cc1C.Cl,IC50,100000.0,nM,>
598046,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL552859,C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,IC50,100000.0,nM,>
601796,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL544074,C=C(CN1CCCCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,IC50,100000.0,nM,>
604365,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL545006,Cl.O=C(CCN1CCCCC1)c1ccc(OCc2ccccc2)cc1,IC50,100000.0,nM,>
605595,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL542891,CCOC(=O)C1CCN(CCC(=O)c2ccc(OCc3ccccc3)cc2)CC1.Cl,IC50,100000.0,nM,>
606739,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL544538,C=C(CN1CCNCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,IC50,100000.0,nM,>
607987,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL80030,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,IC50,50000.0,nM,=
609242,CHEMBL847372,B,In vitro inhibition of the v-abl tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate,CHEMBL1128740,CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,IC50,10000.0,nM,=
