molecule_chembl_id,smiles,skel,ABL1,c-KIT,PDGFRB,scaffold,split
CHEMBL2403814,CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccccc34)cc2)n(-c2cccc([N+](=O)[O-])c2)n1,ZMQAYSHYLVAIDP,1,1,-1,O=C(Nc1ccc(Nc2ncnc3ccccc23)cc1)Nc1ccnn1-c1ccccc1,train
CHEMBL2403815,CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccc(N)cc34)cc2)n(-c2cccc(N)c2)n1,WQIKRJDLIIEKAG,1,1,-1,O=C(Nc1ccc(Nc2ncnc3ccccc23)cc1)Nc1ccnn1-c1ccccc1,train
CHEMBL2403816,CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccccc34)cc2)n(-c2cccc(N)c2)n1,SHTNULLAAVPXRC,1,1,-1,O=C(Nc1ccc(Nc2ncnc3ccccc23)cc1)Nc1ccnn1-c1ccccc1,train
CHEMBL2403818,CCC(=O)Nc1ccc2ncnc(Nc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cccc(N)c4)cc3)c2c1,PHACWCVXLRRZGX,1,1,-1,O=C(Nc1ccc(Nc2ncnc3ccccc23)cc1)Nc1ccnn1-c1ccccc1,train
CHEMBL2403819,CN(C)CCCC(=O)Nc1ccc2ncnc(Nc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cccc(N)c4)cc3)c2c1,WIVSUJLYDAGUDC,1,1,-1,O=C(Nc1ccc(Nc2ncnc3ccccc23)cc1)Nc1ccnn1-c1ccccc1,train
CHEMBL2408497,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccccn1,GYMXKFUFOSAHPS,0,-1,-1,O=C(COc1ccc2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccccn1,train
CHEMBL2408500,Cc1ccc(NC(=O)COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)cc1,BZAZLSXXIKKUJR,1,-1,-1,O=C(COc1ccc2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccccc1,train
CHEMBL2408501,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccc(Br)cc1,WHMLTTKUXSPHKB,1,-1,-1,O=C(COc1ccc2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccccc1,train
CHEMBL2408503,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccccc1Br,MWUNOWIQHDYFRQ,0,-1,-1,O=C(COc1ccc2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccccc1,train
CHEMBL2408504,COc1cccc(NC(=O)COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)c1,DIGSNNDESAUXRO,1,-1,-1,O=C(COc1ccc2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccccc1,train
CHEMBL2408509,Cc1ccc(NC(=O)COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)nc1,VZFZFFUOYMTZID,1,-1,-1,O=C(COc1ccc2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccccn1,train
CHEMBL2408510,Cc1ccnc(NC(=O)COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)c1,MJMIOOAVXJRVCP,1,-1,-1,O=C(COc1ccc2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccccn1,train
CHEMBL2408511,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccc(Br)cn1,PXTWAEPBSCCMEY,1,-1,-1,O=C(COc1ccc2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccccn1,train
CHEMBL241539,CSc1nc(NCc2cccc(F)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,JDCIDTFQSPPSQG,1,-1,-1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,train
CHEMBL241540,CSc1nc(NCc2ccc(F)cc2)c2cnn(CC(Cl)c3ccccc3)c2n1,ZDVMCRNBPCIWEL,1,-1,-1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,train
CHEMBL241749,CSc1nc(NCc2ccccc2)c2cnn(CC(Cl)c3ccc(Cl)cc3)c2n1,JUBQMCOOSJGKFM,1,-1,-1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,train
CHEMBL241750,CSc1nc(NCc2ccccc2)c2cnn(CC(Cl)c3ccc(F)cc3)c2n1,GGEDDOAPJMUBJS,1,-1,-1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,train
CHEMBL2419760,Cl.c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCO5)c2)cc1,LHPLWSQPNALMBZ,1,-1,1,c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCO5)c2)cc1,train
CHEMBL2419761,Cl.c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCO5)c2)cc1,SAKCKGACQQZAFQ,1,-1,1,c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCO5)c2)cc1,train
CHEMBL2419762,Cl.c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCCO5)c2)cc1,NIMPKNBPEACPAH,1,-1,-1,c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCCO5)c2)cc1,train
