molecule_chembl_id,smiles,skel,ABL1,c-KIT,PDGFRB,scaffold,split
CHEMBL3689571,O=C(Nc1cc2ccc(OC3CCCC[C@@H]3O)cc2cn1)C1CC1,AJMMLIAKOKIMHO,1,-1,-1,O=C(Nc1cc2ccc(OC3CCCCC3)cc2cn1)C1CC1,train
CHEMBL3689572,Cc1ncc(NC(=O)C2CCOCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,NQHIUDGJCDRJTP,1,-1,-1,O=C(Nc1cncc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1)C1CCOCC1,train
CHEMBL3689573,O=C(Nc1cc2ccc(NCCO)cc2cn1)C1CC1,LLDWONNBZGRZFD,1,-1,-1,O=C(Nc1cc2ccccc2cn1)C1CC1,train
CHEMBL3689574,Cc1ccc2[nH]ncc2c1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,NNRHKWUPNDZNRT,1,-1,-1,O=C(Nc1cc2ccc(-c3cccc4[nH]ncc34)cc2cn1)C1CC1,train
CHEMBL3689575,Cc1ncc2[nH]ncc2c1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,NKSGNMVUYWBPFF,1,-1,-1,O=C(Nc1cc2ccc(-c3cncc4[nH]ncc34)cc2cn1)C1CC1,train
CHEMBL3689576,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-c1ccc2cc(N)ncc2c1,PLZYRMKHJIQAKJ,1,-1,-1,O=C(Nc1cccc(-c2ccc3ccncc3c2)c1)c1ccc(CN2CCNCC2)cc1,test
CHEMBL3689577,Cc1ccncc1-c1ccc2cc(NC(=O)[C@H]3C[C@H]3F)ncc2c1,ZAUJQZWLDBQKEZ,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
CHEMBL3689578,Cc1ccncc1-c1ccc2cc(NC(=O)[C@@H]3C[C@@H]3F)ncc2c1,ZAUJQZWLDBQKEZ,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1CC1,train
CHEMBL3689579,Cc1ccncc1-c1ccc2cc(NC(=O)C3C4COCC43)ncc2c1,QCHHMWZUXOCRPF,1,-1,-1,O=C(Nc1cc2ccc(-c3cccnc3)cc2cn1)C1C2COCC21,val
CHEMBL3689580,Cc1cnc(F)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,IIDUBQLXIITGNI,1,-1,-1,O=C(Nc1cc2ccc(-c3ccncc3)cc2cn1)C1CC1,train
CHEMBL3689581,Cc1cc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c(C)cn1,CYYRBNJCGPHNCS,1,-1,-1,O=C(Nc1cc2ccc(-c3ccncc3)cc2cn1)C1CC1,train
CHEMBL3689582,Cc1ccc(C(=O)NC2CCOCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,LQLBXPFIRYGTME,1,-1,-1,O=C(NC1CCOCC1)c1cccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,train
CHEMBL3689583,O=C(Nc1cc2ccc(-c3cncc4[nH]ncc34)cc2cn1)C1CC1,FSXSZOBAXJRYDB,1,-1,-1,O=C(Nc1cc2ccc(-c3cncc4[nH]ncc34)cc2cn1)C1CC1,train
CHEMBL3689584,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)C3CC3c3ccc(CN(C)C)cc3)ncc2c1,ZYWSRYSSGZKYSV,1,-1,-1,O=C(Nc1cc2ccc(-c3ccccc3)cc2cn1)C1CC1c1ccccc1,train
CHEMBL3689585,COCC(=O)Nc1ccc(C)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,ZOKREJGPWBOHKW,1,-1,-1,O=C(Nc1cc2ccc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689586,CO[C@H](C)C(=O)Nc1ccc(C)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,CBRPGHMVZUMORA,1,-1,-1,O=C(Nc1cc2ccc(-c3ccccc3)cc2cn1)C1CC1,train
CHEMBL3689587,CO[C@@H](C)C(=O)Nc1ccc(C)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1,CBRPGHMVZUMORA,1,-1,-1,O=C(Nc1cc2ccc(-c3ccccc3)cc2cn1)C1CC1,train
