rank,ad_rank,molecule_chembl_id,pref_name,smiles,PS,in_ad,max_train_sim,p_ABL1,p_c-KIT,p_PDGFRB
607,,CHEMBL4594214,ZICONOTIDE,CSCC[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CSSC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(N)=O)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC3=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,0.2279,False,0.258,0.0497,0.2409,0.9879
608,169.0,CHEMBL4558324,LAZERTINIB,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,0.2276,True,0.348,0.2127,0.0588,0.9435
609,,CHEMBL1422,SITAGLIPTIN,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,0.2274,False,0.208,0.0959,0.2138,0.5736
610,170.0,CHEMBL24828,VANDETANIB,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,0.2274,True,0.391,0.3219,0.2582,0.1415
611,,CHEMBL2070241,BREMELANOTIDE,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,0.227,False,0.226,0.0577,0.212,0.9573
612,,CHEMBL14060,PHENOL,Oc1ccccc1,0.227,False,0.35,0.1123,0.3069,0.3395
613,,CHEMBL507674,CEFOPERAZONE,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,0.2269,False,0.183,0.0505,0.6878,0.3363
614,,CHEMBL1546,HYDROXYAMPHETAMINE,CC(N)Cc1ccc(O)cc1,0.2268,False,0.276,0.0156,0.8397,0.8938
615,,CHEMBL1908361,LEVOLEUCOVORIN CALCIUM,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O.[Ca+2],0.2267,False,0.265,0.0278,0.4724,0.8873
616,,CHEMBL548,DINOPROSTONE,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,0.2262,False,0.214,0.0469,0.3207,0.7705
617,,CHEMBL3188993,QUETIAPINE FUMARATE,O=C(O)/C=C/C(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,0.2255,False,0.314,0.0522,0.2724,0.8072
618,,CHEMBL1201046,CEFORANIDE,NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12,0.2252,False,0.219,0.0441,0.7755,0.3343
619,,CHEMBL1089,PHENELZINE,NNCCc1ccccc1,0.2247,False,0.26,0.0615,0.2091,0.8824
620,,CHEMBL2107124,PROTHIPENDYL HYDROCHLORIDE,CN(C)CCCN1c2ccccc2Sc2cccnc21.Cl,0.2236,False,0.274,0.0993,0.1165,0.9665
621,,CHEMBL20883,TEGAFUR,O=c1[nH]c(=O)n(C2CCCO2)cc1F,0.2233,False,0.207,0.1189,0.1868,0.5015
622,,CHEMBL1200388,CLOXACILLIN SODIUM,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].O.[Na+],0.2232,False,0.247,0.1305,0.7044,0.1211
623,,CHEMBL2104415,MOXIDECTIN,CO/N=C1\C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C,0.2227,False,0.181,0.0159,0.7557,0.917
624,,CHEMBL1201748,CABAZITAXEL,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,0.2226,False,0.252,0.0276,0.8299,0.4807
625,,CHEMBL58,MITOXANTRONE,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,0.2222,False,0.281,0.0702,0.3554,0.4396
626,,CHEMBL1200855,TICARCILLIN DISODIUM,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)[O-])c3ccsc3)C(=O)N2[C@H]1C(=O)[O-].[Na+].[Na+],0.2221,False,0.217,0.0485,0.277,0.8159
627,,CHEMBL1200843,METHYLERGONOVINE MALEATE,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1.O=C(O)/C=C\C(=O)O,0.2221,False,0.221,0.0437,0.2761,0.9089
628,,CHEMBL1711280,DOTHIEPIN HYDROCHLORIDE,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21.Cl,0.2212,False,0.217,0.2336,0.2692,0.1721
629,,CHEMBL4298153,NIROGACESTAT HYDROBROMIDE,Br.Br.CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,0.2205,False,0.227,0.7808,0.1599,0.0859
630,,CHEMBL1200523,CEFAZOLIN SODIUM,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1.[Na+],0.2204,False,0.213,0.0527,0.6518,0.3118
631,,CHEMBL3989830,SIBUTRAMINE HYDROCHLORIDE,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1.Cl.O,0.2194,False,0.212,0.0152,0.7868,0.8819
632,,CHEMBL1767408,DIQUAFOSOL TETRASODIUM,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1.[Na+].[Na+].[Na+].[Na+],0.2189,False,0.247,0.155,0.1116,0.6061
633,,CHEMBL1779710,EVOGLIPTIN,CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,0.2185,False,0.238,0.0905,0.2655,0.4346
634,,CHEMBL1256137,CYSTEAMINE HYDROCHLORIDE,Cl.NCCS,0.2182,False,0.118,0.3539,0.1401,0.2094
635,171.0,CHEMBL1697760,MUZOLIMINE,CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O,0.2182,True,0.333,0.7621,0.0238,0.5719
636,,CHEMBL1200941,THIAMINE HYDROCHLORIDE,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],0.2181,False,0.228,0.7926,0.4587,0.0285
637,,CHEMBL4594248,CALCITONIN HUMAN,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(N)=O)C(C)C,0.2179,False,0.227,0.0189,0.5523,0.9907
638,172.0,CHEMBL1200370,BENZOYL PEROXIDE,O=C(OOC(=O)c1ccccc1)c1ccccc1,0.2166,True,0.341,0.0472,0.8679,0.2481
639,,CHEMBL500576,TEMOPORFIN,Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1,0.2165,False,0.288,0.1291,0.0796,0.9875
640,,CHEMBL3301612,ENCORAFENIB,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,0.2163,False,0.284,0.1565,0.1957,0.3303
641,,CHEMBL340978,BENOXAPROFEN,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,0.2161,False,0.281,0.0742,0.4153,0.3277
642,,CHEMBL2104993,VORTIOXETINE,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,0.2152,False,0.275,0.0988,0.1471,0.6856
643,,CHEMBL1316,CARPROFEN,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,0.2151,False,0.298,0.2415,0.4206,0.0979
644,173.0,CHEMBL1195,PROPOXYCAINE,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,0.2149,True,0.312,0.025,0.5319,0.7465
645,,CHEMBL1255800,FIDAXOMICIN,CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C,0.2149,False,0.154,0.0909,0.2708,0.403
646,,CHEMBL28218,BROMPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,0.2146,False,0.297,0.0766,0.2402,0.5369
647,,CHEMBL1697841,ISOMETHEPTENE,CNC(C)CCC=C(C)C,0.2143,False,0.138,0.0902,0.1145,0.9517
648,174.0,CHEMBL4559134,SELPERCATINIB,COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1,0.2141,True,0.314,0.1095,0.5527,0.1621
649,,CHEMBL1082,AMOXICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.214,False,0.222,0.0293,0.7079,0.4719
650,,CHEMBL1200822,FLECAINIDE ACETATE,CC(=O)O.O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0.2139,False,0.26,0.1082,0.3645,0.2479
651,175.0,CHEMBL926,DOBUTAMINE,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,0.2139,True,0.3,0.0204,0.7644,0.6272
652,,CHEMBL1296,CEFOTIAM,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,0.213,False,0.184,0.026,0.5339,0.6974
653,176.0,CHEMBL4650226,ACORAMIDIS HYDROCHLORIDE,Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F.Cl,0.2122,True,0.307,0.3086,0.1568,0.1974
654,,CHEMBL1201235,METHYLHOMATROPINE,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,0.2121,False,0.267,0.1828,0.0789,0.6615
655,,CHEMBL161,CEFTRIAXONE,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,0.2119,False,0.171,0.1,0.5845,0.1628
656,,CHEMBL3989509,PENTAZOCINE LACTATE,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C.CC(O)C(=O)O,0.2109,False,0.19,0.0109,0.9801,0.8782
657,,CHEMBL1590,PSEUDOEPHEDRINE,CN[C@@H](C)[C@@H](O)c1ccccc1,0.2106,False,0.25,0.077,0.1701,0.7131
658,,CHEMBL1398126,AMILORIDE HYDROCHLORIDE,Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N.O.O,0.2105,False,0.176,0.1428,0.47,0.139
659,,CHEMBL267894,AMOBARBITAL,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0.2105,False,0.16,0.024,0.8949,0.4347
660,,CHEMBL891,CLOXACILLIN,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,0.2104,False,0.256,0.117,0.6471,0.123
661,,CHEMBL4594287,ENSIFENTRINE,COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(CCNC(N)=O)c(=O)n1CC2,0.2103,False,0.245,0.2073,0.0449,0.9985
662,,CHEMBL1200768,CEFTAZIDIME SODIUM,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)[O-].[Na+],0.2102,False,0.179,0.1229,0.8112,0.0932
663,,CHEMBL1588,THIAMINE,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.[Cl-],0.21,False,0.231,0.7709,0.4199,0.0286
664,,CHEMBL1201066,VENLAFAXINE HYDROCHLORIDE,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,0.21,False,0.25,0.0194,0.4953,0.9662
665,,CHEMBL1146,CEFAMANDOLE,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,0.2098,False,0.229,0.067,0.8169,0.1686
666,,CHEMBL1201218,CEFAMANDOLE NAFATE FREE BASE,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1,0.2097,False,0.228,0.0643,0.817,0.1756
