rank,molecule_chembl_id,pref_name,smiles,PS,P_ABL1,P_c-KIT,P_PDGFRB,rank_ABL1,rank_c-KIT,rank_PDGFRB,max_train_sim,heavy_atoms,in_ad,ad_rank,ad_rank_pct
29,CHEMBL3989871,AVACOPAN,Cc1ccc(NC(=O)[C@H]2CCCN(C(=O)c3c(C)cccc3F)[C@H]2c2ccc(NC3CCCC3)cc2)cc1C(F)(F)F,0.8914002579668863,0.82082283,0.8704414,0.99135524,110,154,198,0.3137255,42,True,23,4.14
31,CHEMBL1200485,SORAFENIB TOSYLATE,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,0.8858495453704675,0.7165177,0.981371,0.9885981,159,35,230,0.5949367,43,True,24,4.32
33,CHEMBL1729,CISAPRIDE,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,0.8851758727178742,0.79137033,0.99195766,0.8835188,121,18,722,0.30357143,32,True,25,4.5
35,CHEMBL2005186,BELUMOSUDIL,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,0.8759240521885115,0.84447116,0.86908567,0.91569734,100,156,638,0.30120483,34,True,26,4.68
38,CHEMBL2105709,QUIZARTINIB DIHYDROCHLORIDE,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1.Cl.Cl,0.8682066160346591,0.7896399,0.88316166,0.9384259,125,138,549,0.6097561,42,True,27,4.86
40,CHEMBL477,ADENOSINE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.867158968318116,0.88027716,0.8443246,0.8773387,76,186,751,0.44871795,19,True,28,5.05
43,CHEMBL1200788,CISAPRIDE MONOHYDRATE,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC.O,0.8624418636815689,0.7579195,0.99014497,0.8548061,146,20,799,0.30088496,33,True,29,5.23
45,CHEMBL3894860,TRILACICLIB,CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,0.8553601425146252,0.7582833,0.997598,0.8272942,145,4,860,0.39759037,33,True,30,5.41
49,CHEMBL576982,QUIZARTINIB,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,0.8458771774026809,0.7586665,0.8680382,0.91903526,144,157,622,0.61728394,40,True,31,5.59
52,CHEMBL1090,VIDARABINE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0.8365885320641796,0.8770779,0.7570827,0.8817678,78,284,730,0.44871795,19,True,32,5.77
55,CHEMBL3989973,PEXIDARTINIB HYDROCHLORIDE,Cl.FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,0.8338214232354596,0.9468941,0.9721596,0.62976736,48,50,1199,0.7719298,30,True,33,5.95
56,CHEMBL1834657,INFIGRATINIB PHOSPHATE,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1.O=P(O)(O)O,0.8294712876560915,0.9920959,0.9650918,0.5960488,18,71,1247,0.35555556,43,True,34,6.13
58,CHEMBL4303214,FRUQUINTINIB,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,0.8215807812872478,0.7487219,0.856388,0.8648877,150,174,776,0.49295774,29,True,35,6.31
61,CHEMBL3813873,PEXIDARTINIB,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,0.8118951810463494,0.93121827,0.9668734,0.5944,53,65,1249,0.78571427,29,True,36,6.49
62,CHEMBL4216467,RIPRETINIB,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,0.8097085145013848,0.6439738,0.8724501,0.9448814,183,151,523,0.37333333,33,True,37,6.67
64,CHEMBL2105704,LENVATINIB MESYLATE,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O.CS(=O)(=O)O,0.8051987673587039,0.60769516,0.90930384,0.94474477,196,117,525,0.5949367,35,True,38,6.85
65,CHEMBL4113131,ENSARTINIB,C[C@@H]1CN(C(=O)c2ccc(NC(=O)c3cc(O[C@H](C)c4c(Cl)ccc(F)c4Cl)c(N)nn3)cc2)C[C@H](C)N1,0.8031717891806842,0.7725064,0.8335937,0.8045792,134,199,906,0.33707866,38,True,39,7.03
72,CHEMBL941,IMATINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0.7831796102266094,0.6076721,0.91340536,0.8654685,197,113,773,0.8428571,37,True,40,7.21
82,CHEMBL2105756,TIVOZANIB HYDROCHLORIDE,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC.Cl.O,0.7550671160186493,0.44861,0.9879132,0.97133476,260,28,404,0.5735294,34,True,41,7.39
84,CHEMBL1657,TAZAROTENE,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,0.7537194633291824,0.79928166,0.8735408,0.6132621,115,148,1225,0.32857144,25,True,42,7.57
