rank,molecule_chembl_id,pref_name,smiles,PS,P_ABL1,P_c-KIT,P_PDGFRB,rank_ABL1,rank_c-KIT,rank_PDGFRB
38,CHEMBL2105709,QUIZARTINIB DIHYDROCHLORIDE,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1.Cl.Cl,0.8682066160346591,0.7896399,0.88316166,0.9384259,125,138,549
39,CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0.8672900621640514,0.85024697,0.9433349,0.8133587,94,94,893
40,CHEMBL477,ADENOSINE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.867158968318116,0.88027716,0.8443246,0.8773387,76,186,751
41,CHEMBL434,ISOPROTERENOL,CC(C)NCC(O)c1ccc(O)c(O)c1,0.8650987427369928,0.78066844,0.9737855,0.8516617,132,48,808
42,CHEMBL1201082,FLUOXETINE HYDROCHLORIDE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,0.8636563061027798,0.95389795,0.6919449,0.9759991,44,369,366
43,CHEMBL1200788,CISAPRIDE MONOHYDRATE,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC.O,0.8624418636815689,0.7579195,0.99014497,0.8548061,146,20,799
44,CHEMBL888,GEMCITABINE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0.8557701131817153,0.8208663,0.93728155,0.81457084,109,99,890
45,CHEMBL3894860,TRILACICLIB,CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,0.8553601425146252,0.7582833,0.997598,0.8272942,145,4,860
46,CHEMBL36506,NOVOBIOCIN,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,0.8538996962345139,0.8958974,0.96034104,0.72366375,68,79,1063
47,CHEMBL1201038,ACRISORCIN,CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12,0.8499171651514358,0.85163647,0.95635635,0.75379944,88,83,1013
48,CHEMBL1711,ISOPROTERENOL HYDROCHLORIDE,CC(C)NCC(O)c1ccc(O)c(O)c1.Cl,0.8468820782982492,0.8142963,0.9727386,0.7668143,113,49,991
49,CHEMBL576982,QUIZARTINIB,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,0.8458771774026809,0.7586665,0.8680382,0.91903526,144,157,622
50,CHEMBL3039504,NINTEDANIB ESYLATE,CCS(=O)(=O)O.COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,0.8439653738726777,0.61968476,0.9703368,0.99972504,194,53,27
51,CHEMBL2364608,DORAVIRINE,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,0.843168821230129,0.78144556,0.8844445,0.8673099,130,137,770
52,CHEMBL1090,VIDARABINE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0.8365885320641796,0.8770779,0.7570827,0.8817678,78,284,730
53,CHEMBL1200710,CLOMIPRAMINE HYDROCHLORIDE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21.Cl,0.8362676105119771,0.7450868,0.7972032,0.98460025,153,233,278
54,CHEMBL41,FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0.8354720606465147,0.95210975,0.626665,0.97740227,46,453,347
