rank,molecule_chembl_id,pref_name,smiles,PS,P_ABL1,P_c-KIT,P_PDGFRB,rank_ABL1,rank_c-KIT,rank_PDGFRB
515,CHEMBL900,ORPHENADRINE,Cc1ccccc1C(OCCN(C)C)c1ccccc1,0.26696918032930494,0.16594264,0.16804244,0.6823488,522,1508,1119
516,CHEMBL928,DANTROLENE SODIUM,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)[N-]1.[Na+],0.2669397462882692,0.32124728,0.39499295,0.1499032,367,823,2138
517,CHEMBL1679,LEUCOVORIN,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,0.26632796046484974,0.03466394,0.5591103,0.9747088,1108,550,377
518,CHEMBL1201023,ORPHENADRINE HYDROCHLORIDE,Cc1ccccc1C(OCCN(C)C)c1ccccc1.Cl,0.2653300078109258,0.14845501,0.20039316,0.62788683,551,1381,1205
519,CHEMBL3099695,OSILODROSTAT,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1,0.2641447636206753,0.14795162,0.35958755,0.34641895,553,903,1655
520,CHEMBL3127326,OMBITASVIR,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,0.2638812811886832,0.057858974,0.6668138,0.47626695,922,400,1438
521,CHEMBL2105743,OLODATEROL HYDROCHLORIDE,COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1.Cl,0.26364143168944265,0.11914125,0.15485498,0.9932387,609,1564,164
522,CHEMBL831,LOXAPINE,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,0.2633478917689572,0.07039644,0.5870775,0.44191974,847,506,1493
523,CHEMBL203321,BRINCIDOFOVIR,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,0.2630231329989981,0.024204824,0.7587221,0.9908255,1217,283,203
524,CHEMBL3085436,VIOMYCIN,NCCC[C@H](N)CC(=O)N[C@H]1CNC(=O)[C@H]([C@H]2C[C@H](O)NC(N)=N2)NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC1=O,0.26269973899701105,0.062162444,0.30647337,0.9516079,895,1045,501
525,CHEMBL374478,RIFAMPIN,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0.26269710387833733,0.09319743,0.6185007,0.3145008,718,466,1727
526,CHEMBL1534,RIBOFLAVIN,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,0.2602840428586297,0.2112696,0.104990065,0.79498225,472,1791,925
527,CHEMBL572,NITROFURANTOIN,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,0.2601959103297953,0.24469295,0.48890975,0.14724863,440,653,2148
528,CHEMBL6067656,CEFTRIAXONE SODIUM,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CS[C@H]12)c1csc(N)n1.CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CS[C@H]12)c1csc(N)n1.O.O.O.O.O.O.O.[Na+].[Na+].[Na+].[Na+],0.25977359495612157,0.14462218,0.64998674,0.18648574,562,413,2022
529,CHEMBL4298128,ELEXACAFTOR,Cc1nn(C)cc1S(=O)(=O)NC(=O)c1ccc(-n2ccc(OCC(C)(C)C(F)(F)F)n2)nc1N1C[C@@H](C)CC1(C)C,0.25781333757452757,0.08024225,0.36320522,0.5879778,792,892,1259
530,CHEMBL1200467,HYDROXYZINE PAMOATE,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0.2576549883445554,0.116768114,0.15010011,0.97591126,619,1591,368
531,CHEMBL1229211,DOLUTEGRAVIR,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,0.2569403108546474,0.04258071,0.71117884,0.56015086,1042,346,1308
532,CHEMBL328190,LASOFOXIFENE,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,0.25691928891172283,0.047861673,0.3613625,0.98052615,994,900,321
533,CHEMBL211456,EPHEDRINE,CN[C@@H](C)[C@H](O)c1ccccc1,0.25676541499658107,0.089060076,0.21056119,0.9027099,742,1343,677
534,CHEMBL1201728,DESVENLAFAXINE SUCCINATE,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1.O=C(O)CCC(=O)O,0.2566087728852491,0.027090678,0.633994,0.983806,1182,440,285
535,CHEMBL2336071,SIPONIMOD,CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1,0.25599162783662,0.047816742,0.40913248,0.8574985,995,798,793
536,CHEMBL2106638,LOFEPRAMINE HYDROCHLORIDE,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1.Cl,0.2554533010978496,0.051852793,0.3368646,0.9543486,967,967,490
537,CHEMBL545,ALCOHOL,CCO,0.254478810917333,0.4588053,0.21128403,0.17000426,252,1341,2068
538,CHEMBL1201758,BEPOTASTINE,O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,0.2543473095045328,0.060204513,0.34677207,0.78814894,908,934,939
539,CHEMBL3989510,PENTAZOCINE HYDROCHLORIDE,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C.Cl,0.25374510295374314,0.017867958,0.97022814,0.9424196,1331,54,533
540,CHEMBL1017,TELMISARTAN,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,0.25361128679839784,0.96662223,0.018501865,0.912081,42,2604,647
541,CHEMBL237500,LINAGLIPTIN,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0.2532238895607318,0.046750568,0.36234555,0.95852673,1006,897,475
542,CHEMBL420762,MOZAVAPTAN,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(N(C)C)c3ccccc32)cc1,0.25299347135144684,0.118250564,0.49923822,0.27429435,611,637,1810
543,CHEMBL1201284,CINACALCET,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,0.25279677935999584,0.36228195,0.14465961,0.30826244,326,1611,1737
544,CHEMBL1201313,CHLOPHEDIANOL,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,0.25253604903270693,0.35304573,0.08473879,0.5383404,337,1909,1338
545,CHEMBL1201794,RIBOFLAVIN 5'-PHOSPHATE,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,0.25227333210883773,0.19481333,0.12116254,0.68018496,492,1715,1123
546,CHEMBL564,PROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccccc21,0.2521055691305231,0.16231114,0.10006829,0.9865122,525,1812,255
547,CHEMBL325041,BORTEZOMIB,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0.25111387874433644,0.04530939,0.40736845,0.85789967,1015,803,790
548,CHEMBL1259059,SOFOSBUVIR,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,0.2510781761836431,0.21773928,0.18172249,0.40001976,464,1450,1565
549,CHEMBL1200969,DUTASTERIDE,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,0.2510000293083881,0.35719174,0.044504657,0.99475116,332,2224,134
550,CHEMBL1200340,OSELTAMIVIR PHOSPHATE,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1.O=P(O)(O)O,0.2496761038235197,0.039758354,0.6808659,0.5749644,1063,385,1281
551,CHEMBL19490,ZOMEPIRAC,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,0.24952407740584048,0.08961428,0.42023215,0.41254455,737,768,1548
552,CHEMBL1201303,PYRVINIUM,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,0.2492423475496394,0.5902645,0.22717166,0.115468815,204,1277,2284
553,CHEMBL1201000,NITROFURANTOIN SODIUM,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)[N-]1.[Na+],0.24918020769048105,0.24813926,0.46142983,0.13512616,432,698,2200
554,CHEMBL1201127,DARUNAVIR ETHANOLATE,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1.CCO,0.24887241837191904,0.042464282,0.36518475,0.9940171,1044,885,150
555,CHEMBL1200397,BUTENAFINE HYDROCHLORIDE,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12.Cl,0.2479135487981968,0.100827605,0.15254669,0.990646,685,1581,206
556,CHEMBL1200972,CHLOPHEDIANOL HYDROCHLORIDE,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl.Cl,0.24782490677955485,0.31154698,0.11580024,0.42189252,373,1743,1530
557,CHEMBL4303232,CEFOTIAM HYDROCHLORIDE,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1.Cl.Cl,0.24750504172008428,0.03510086,0.6023564,0.717102,1096,489,1072
558,CHEMBL1200810,DOXERCALCIFEROL,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.2472244629805125,0.044924706,0.36664182,0.9173755,1018,879,628
559,CHEMBL990,BUTENAFINE,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,0.24585593399101904,0.11111189,0.13488925,0.9915263,646,1645,193
560,CHEMBL1409,FLUVOXAMINE MALEATE,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C(O)/C=C\C(=O)O,0.24584905640351754,0.0942038,0.17955478,0.8784968,713,1456,746
561,CHEMBL2105760,BREXPIPRAZOLE,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,0.24577527365642157,0.059539076,0.28618783,0.87128717,913,1096,765
562,CHEMBL2105754,TRELAGLIPTIN SUCCINATE,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O.O=C(O)CCC(=O)O,0.24549386648061833,0.069913715,0.21959919,0.963671,851,1302,457
563,CHEMBL493982,VORAPAXAR,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1,0.24513781015859368,0.0424383,0.42271397,0.8211572,1045,762,874
564,CHEMBL3989478,THIETHYLPERAZINE MALEATE,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,0.2450797442178334,0.06199396,0.29097548,0.81604946,897,1083,886
565,CHEMBL6068478,LAZERTINIB MESYLATE,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1.CS(=O)(=O)O.O,0.24502196221330844,0.20869361,0.08733178,0.8071117,477,1889,903
566,CHEMBL1417019,MITOXANTRONE HYDROCHLORIDE,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,0.24488246983141876,0.080350034,0.4257441,0.42927778,791,752,1524
567,CHEMBL278819,MINAPRINE,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,0.2445740168699275,0.052786455,0.32205454,0.86055577,959,1005,785
568,CHEMBL605846,OLODATEROL,COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1,0.2442851564119939,0.10428252,0.14087285,0.99232155,673,1625,177
569,CHEMBL422,TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0.24390751201208516,0.1338603,0.109649904,0.9885881,580,1771,231
570,CHEMBL535650,MEFLOQUINE HYDROCHLORIDE,Cl.OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,0.24328366982478203,0.104019456,0.22996394,0.6019558,676,1264,1241
571,CHEMBL2028850,ICATIBANT,N=C(N)NCCC[C@@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC(=O)N[C@@H](Cc1cccs1)C(=O)N[C@@H](CO)C(=O)N1Cc2ccccc2C[C@@H]1C(=O)N1[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C[C@@H]2CCCC[C@@H]21,0.24310853891664566,0.040425953,0.36209816,0.9815538,1055,898,309
572,CHEMBL2107387,VORTIOXETINE HYDROBROMIDE,Br.Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,0.24309966582292117,0.12199928,0.16094254,0.7316864,604,1534,1050
573,CHEMBL1200986,HALOPERIDOL DECANOATE,CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,0.24259089635203798,0.016808249,0.8696763,0.97666,1347,155,360
574,CHEMBL1219,RABEPRAZOLE,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,0.24245430357573816,0.943708,0.016409812,0.9203402,49,2649,617
575,CHEMBL1201112,NELARABINE,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0.2423423852370817,0.7714783,0.20393267,0.09046437,137,1365,2380
576,CHEMBL1769,PROPOXYCAINE HYDROCHLORIDE,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC.Cl,0.24199037505649879,0.033795156,0.5532515,0.7579093,1113,564,1005
577,CHEMBL3391662,PARITAPREVIR,Cc1cnc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,0.24056132801720098,0.030191276,0.56882375,0.8106217,1147,541,899
578,CHEMBL3137330,CABOTEGRAVIR SODIUM,C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12.[Na+],0.24054455486191623,0.03921426,0.7590559,0.4675938,1068,282,1454
579,CHEMBL3301675,LINACLOTIDE,C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@@H]2CSSC[C@H](N)C(=O)N[C@H]3CSSC[C@H](NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)CSSC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCC(=O)O)NC3=O)C(=O)N2,0.24047369833695711,0.03309956,0.42538482,0.9876397,1122,754,245
580,CHEMBL562,GRISEOFULVIN,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0.23901886781276296,0.111615576,0.9679542,0.12639122,644,63,2237
581,CHEMBL87708,LOFEPRAMINE,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,0.23836443442037356,0.0477618,0.30145696,0.94062907,996,1052,542
582,CHEMBL2360079,ACETOPHENAZINE MALEATE,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,0.2375415026958592,0.04822238,0.32830912,0.8466169,991,995,825
583,CHEMBL1945778,IOFLUPANE,COC(=O)[C@H]1[C@@H](c2ccc(I)cc2)C[C@@H]2CC[C@H]1N2CCCF,0.2371776283903517,0.07508257,0.1944864,0.91367733,824,1404,643
584,CHEMBL3989517,IOFLUPANE I 123,COC(=O)[C@H]1[C@@H](c2ccc([123I])cc2)C[C@@H]2CC[C@H]1N2CCCF,0.2371776283903517,0.07508257,0.1944864,0.91367733,824,1404,643
585,CHEMBL1200482,CEFOPERAZONE SODIUM,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O.[Na+],0.23714645683313615,0.054962575,0.69854826,0.3473653,944,362,1652
586,CHEMBL1200984,AMLODIPINE MALEATE,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=C(O)/C=C\C(=O)O,0.23703751020579047,0.04716251,0.46233425,0.61079895,1000,696,1229
587,CHEMBL3989823,VIOMYCIN SULFATE,NCCC[C@H](N)CC(=O)N[C@H]1CNC(=O)[C@H]([C@H]2C[C@H](O)NC(N)=N2)NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC1=O.O=S(=O)(O)O,0.2369802070794002,0.04280107,0.37609002,0.82677966,1038,858,861
588,CHEMBL1256842,NOMIFENSINE MALEATE,CN1Cc2c(N)cccc2C(c2ccccc2)C1.O=C(O)/C=C\C(=O)O,0.23656626274879214,0.076438546,0.29447904,0.5881547,816,1071,1258
589,CHEMBL4594293,ACALABRUTINIB MALEATE,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12.O=C(O)/C=C\C(=O)O,0.23603066284175883,0.11745103,0.56329703,0.19875178,616,546,1989
590,CHEMBL1200357,MOXALACTAM DISODIUM,CO[C@@]1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21.[Na+].[Na+],0.23521371827465157,0.061012685,0.9404557,0.22679292,903,97,1909
591,CHEMBL1201782,FOSAPREPITANT DIMEGLUMINE,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.C[C@@H](O[C@H]1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.2343243249377125,0.09306449,0.15793611,0.87536,720,1547,756
592,CHEMBL1094966,PIRBUTEROL,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,0.2339514773857399,0.074071616,0.34710318,0.49804318,833,933,1393
593,CHEMBL597,PHENTOLAMINE,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,0.23367932111502696,0.117118604,0.34466538,0.31610933,617,941,1723
594,CHEMBL1091250,INDIGOTINDISULFONATE,O=C1/C(=C2\Nc3ccc(S(=O)(=O)O)cc3C2=O)Nc2ccc(S(=O)(=O)O)cc21,0.233384606320416,0.11518001,0.19349998,0.5703726,629,1410,1291
595,CHEMBL2103830,FOSTAMATINIB,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC,0.2328386601420829,0.08615655,0.7737723,0.18934935,757,269,2014
596,CHEMBL313972,MASOPROCOL,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,0.23269354566215672,0.02836636,0.6849571,0.6484642,1166,380,1168
597,CHEMBL100116,PENTAZOCINE,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,0.23232443637653466,0.013647544,0.97215414,0.94513756,1418,51,520
598,CHEMBL1660,RIFAPENTINE,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0.23168431273491435,0.07421365,0.58364516,0.28711587,831,515,1782
599,CHEMBL1200948,TRIMIPRAMINE MALEATE,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21.O=C(O)/C=C\C(=O)O,0.23147813260976344,0.04797354,0.33236066,0.77789056,993,982,960
600,CHEMBL1618,CEFAMANDOLE NAFATE,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1.[Na+],0.23119518656311372,0.08049395,0.84015673,0.18273124,789,192,2029
601,CHEMBL1082407,ENZALUTAMIDE,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,0.23068492712975094,0.028269768,0.7510736,0.5781665,1169,293,1274
602,CHEMBL1213165,DOLUTEGRAVIR SODIUM,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12.[Na+],0.22953303702486438,0.03758605,0.7470594,0.43067914,1082,299,1519
603,CHEMBL1492500,DOTHIEPIN,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21,0.2291947148005233,0.25667292,0.27069137,0.17328434,424,1144,2057
604,CHEMBL2146102,EPHEDRINE HYDROCHLORIDE,CN[C@@H](C)[C@H](O)c1ccccc1.Cl,0.22870148513662852,0.06954418,0.22722328,0.7569955,853,1276,1007
605,CHEMBL1908841,LEVOLEUCOVORIN,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,0.22807202422907638,0.02864442,0.43471855,0.9527256,1165,739,496
606,CHEMBL567,PERPHENAZINE,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.228068133644283,0.07260007,0.16761337,0.9748731,839,1509,374
607,CHEMBL4594214,ZICONOTIDE,CSCC[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CSSC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(N)=O)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC3=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,0.22792282745755094,0.04974681,0.24091604,0.9879445,984,1226,242
608,CHEMBL4558324,LAZERTINIB,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,0.2276195137532478,0.21269725,0.05876367,0.94353414,471,2100,529
609,CHEMBL1422,SITAGLIPTIN,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,0.22741394485995356,0.095916644,0.21378615,0.5735585,708,1325,1283
610,CHEMBL24828,VANDETANIB,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,0.2273999927493561,0.32187495,0.25824022,0.14146866,365,1178,2172
611,CHEMBL14060,PHENOL,Oc1ccccc1,0.22704740808052815,0.11232471,0.30689958,0.3395299,640,1044,1672
612,CHEMBL2070241,BREMELANOTIDE,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,0.22701697365945514,0.05765154,0.21199366,0.95728475,923,1337,480
613,CHEMBL507674,CEFOPERAZONE,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,0.22685459398528063,0.05047879,0.687794,0.33626014,975,374,1679
614,CHEMBL1546,HYDROXYAMPHETAMINE,CC(N)Cc1ccc(O)cc1,0.22683950833905184,0.015552232,0.83973414,0.8937615,1372,193,700
615,CHEMBL1908361,LEVOLEUCOVORIN CALCIUM,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O.[Ca+2],0.22665543579581998,0.02777778,0.4724473,0.88725317,1173,679,711
616,CHEMBL548,DINOPROSTONE,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,0.2262377747206762,0.046866637,0.32066968,0.7705018,1003,1007,980
617,CHEMBL3188993,QUETIAPINE FUMARATE,O=C(O)/C=C/C(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,0.2255175305959469,0.052164286,0.27237308,0.8072415,965,1132,902
618,CHEMBL1201046,CEFORANIDE,NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12,0.22523231956431672,0.04407776,0.7754938,0.33426762,1022,265,1683
619,CHEMBL1089,PHENELZINE,NNCCc1ccccc1,0.22468861314625246,0.06146224,0.20914628,0.882439,900,1347,727
620,CHEMBL2107124,PROTHIPENDYL HYDROCHLORIDE,CN(C)CCCN1c2ccccc2Sc2cccnc21.Cl,0.22360274894958762,0.09931719,0.116464004,0.9665297,695,1737,436
621,CHEMBL20883,TEGAFUR,O=c1[nH]c(=O)n(C2CCCO2)cc1F,0.22332852304817083,0.11888045,0.18684053,0.50147706,610,1437,1388
622,CHEMBL1200388,CLOXACILLIN SODIUM,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].O.[Na+],0.22324143677309854,0.13047013,0.70439833,0.12105844,586,358,2259
