epoch,train_loss,val_avg_auprc
1,5.093004332313055,0.7879611298017251
2,4.025546837456619,0.7980917953013554
3,3.7593984996216205,0.8644458476956655
4,3.4210327893872803,0.8300991926553983
5,3.1264631974546213,0.758079286985544
6,2.9783735577064223,0.7515239944854032
7,2.8764617005480995,0.7428241847299698
8,2.7264557186561293,0.8499381451993937
9,2.6742225809942317,0.8046687830361678
10,2.4334142645703087,0.778962367564137
11,2.365721452085278,0.8607045872387218
12,2.4959924281397954,0.8990009518040996
13,2.3744398295124873,0.864021262532486
14,2.2545203755173504,0.8619565366758032
15,2.3442694416529015,0.8963294906067959
16,2.156023617786697,0.9407224064850733
17,2.0952250323718107,0.8362200505620588
18,1.9678965293908421,0.8235621157262493
19,2.089837314961832,0.8417807830920002
20,1.9348931040944932,0.9185475345344972
21,1.9802552929407433,0.8816600641695359
22,1.8515696774555157,0.8899204469232203
23,1.835994693297374,0.9215290859361193
24,1.7812690840491765,0.9110563515282818
25,1.803861685946018,0.9075480102213858
26,1.6557516772535783,0.8976198580538194
27,1.670860036264492,0.9399887230162286
28,1.7239418256131909,0.9094250752323237
29,1.6019866836221912,0.9098822483993567
30,1.6247455507894106,0.943587738260109
31,1.6603331645078296,0.9446158438115844
32,1.5613525030733664,0.936200245405104
33,1.4868473923659022,0.9191896728153308
34,1.653979683224159,0.9445298892926592
35,1.4878908659838423,0.9185971798427938
36,1.5718596517285215,0.9131506493417666
37,1.4401746396022508,0.9329634605001301
38,1.462751463998722,0.9343002486248122
39,1.439938642933399,0.920808594843478
40,1.4194025751910633,0.9288768401866756
41,1.3553993286965769,0.9299124647631558
42,1.23475066921379,0.9407552821016126
43,1.3286060992675492,0.93681442209636
44,1.2233773835852175,0.9435852723975297
45,1.2281037878386583,0.9467196208201821
46,1.2212535237209707,0.9349568308614414
47,1.2553997926319702,0.9194431577872422
48,1.1734771562528006,0.9478763470647177
49,1.1261072222945057,0.9192327918595894
50,1.118104929033714,0.9397641904094082
51,1.142890478991255,0.9445191789300105
52,1.0883535955902897,0.9460083773312054
53,1.1040845430350001,0.882729481434593
54,0.9860185109361818,0.9212079702638332
55,1.0935781975335712,0.9519306109063302
56,0.9893723465973818,0.940618737153908
57,1.0609550974037074,0.9185379976244802
58,0.9750819202465347,0.9217350155039599
59,1.0185195909270757,0.9533562129888952
60,0.8717751208739944,0.9189976298917281
61,0.9441638664354252,0.9476848700061425
62,0.899948861780046,0.9297362439287312
63,0.8963975883737395,0.9473586463753332
64,0.8585841627437857,0.946719272097169
65,0.9106308861246591,0.9425727754340033
66,0.887482653124423,0.945263088787228
67,0.7720173834999905,0.9492348809544345
68,0.744029578717449,0.9457764548014276
69,0.7950379128886175,0.9522914824528484
70,0.80542029195194,0.9444774610792379
71,0.7715607747624192,0.9515026566601833
72,0.7381627474781833,0.9077125629766973
73,0.7080790007227584,0.9442715013196473
74,0.7335544391712056,0.9455791608216032
75,0.7364295904017701,0.947732030473729
76,0.658599442979203,0.9556940989819874
77,0.691923734979539,0.9491217767316845
78,0.6743225264775602,0.9498685192635122
79,0.6577279889319516,0.9525674035400028
80,0.6732473031063623,0.9565763578727823
81,0.6388102852845494,0.9507575120699583
82,0.6143133770438689,0.9504793972259162
83,0.5187346813610837,0.9412275423450649
84,0.5646383559119098,0.9517637602000787
85,0.6238479783074765,0.9364643877040605
86,0.5717144342540186,0.9497491257355101
87,0.5523085552208786,0.9485995968214628
88,0.5021116258222845,0.9541540032111095
89,0.5266868864905231,0.9507734390493501
90,0.5374312167869338,0.9522077314134515
91,0.45459845961554896,0.9510914964246799
92,0.5032394991928264,0.9518699313353326
93,0.5796699572731799,0.9526612816812502
94,0.4479752025225117,0.9549847151924405
95,0.5021636548298823,0.9553226707263617
96,0.4659665392452403,0.9500161105435465
97,0.477138291289912,0.9539774694264583
98,0.4536052925299995,0.9536495910531885
99,0.36740891611840154,0.9479760882044598
100,0.3470097717274971,0.9557633760533181
